"bookTitle","cityName"
"Audio: Nancy Whiskey","Salt Lake City"
"Audio: Nancy Whiskey","Fairbanks"
"Audio: On the Banks of the Ohio","Man"
"Audio: On the Banks of the Ohio","Most"
"Audio: On the Banks of the Ohio","Salt"
"Audio: On the Banks of the Ohio","Ho"
"Audio: On the Banks of the Ohio","Un"
"Audio: On the Banks of the Ohio","Date"
"Audio: On the Banks of the Ohio","Doma"
"Audio: On the Banks of the Ohio","Boo"
"Audio: On the Banks of the Ohio","Bo"
"Audio: On the Banks of the Ohio","Van"
"Audio: On the Banks of the Ohio","Lice"
"Audio: On the Banks of the Ohio","Of"
"Audio: On the Banks of the Ohio","Mission"
"Audio: On the Banks of the Ohio","Roy"
"Audio: On the Banks of the Ohio","Salt Lake City"
"Audio: On the Banks of the Ohio","Fairbanks"
"Audio: I Heard the Bells on Christmas Day","Man"
"Audio: I Heard the Bells on Christmas Day","Most"
"Audio: I Heard the Bells on Christmas Day","Salt"
"Audio: I Heard the Bells on Christmas Day","Wa"
"Audio: I Heard the Bells on Christmas Day","Ho"
"Audio: I Heard the Bells on Christmas Day","Un"
"Audio: I Heard the Bells on Christmas Day","Date"
"Audio: I Heard the Bells on Christmas Day","Doma"
"Audio: I Heard the Bells on Christmas Day","Boo"
"Audio: I Heard the Bells on Christmas Day","Bo"
"Audio: I Heard the Bells on Christmas Day","Van"
"Audio: I Heard the Bells on Christmas Day","Lice"
"Audio: I Heard the Bells on Christmas Day","Of"
"Audio: I Heard the Bells on Christmas Day","Mission"
"Audio: I Heard the Bells on Christmas Day","Waltham"
"Audio: I Heard the Bells on Christmas Day","Wadsworth"
"Audio: I Heard the Bells on Christmas Day","Bell"
"Audio: I Heard the Bells on Christmas Day","Roy"
"Audio: I Heard the Bells on Christmas Day","Salt Lake City"
"Audio: I Heard the Bells on Christmas Day","Fairbanks"
"Audio: I am a Pilgrim","Man"
"Audio: I am a Pilgrim","Most"
"Audio: I am a Pilgrim","Salt"
"Audio: I am a Pilgrim","Wa"
"Audio: I am a Pilgrim","Ho"
"Audio: I am a Pilgrim","Un"
"Audio: I am a Pilgrim","Date"
"Audio: I am a Pilgrim","Doma"
"Audio: I am a Pilgrim","Boo"
"Audio: I am a Pilgrim","Bo"
"Audio: I am a Pilgrim","Van"
"Audio: I am a Pilgrim","Lice"
"Audio: I am a Pilgrim","Of"
"Audio: I am a Pilgrim","Mission"
"Audio: I am a Pilgrim","Waltham"
"Audio: I am a Pilgrim","Wadsworth"
"Audio: I am a Pilgrim","Bell"
"Audio: I am a Pilgrim","Roy"
"Audio: I am a Pilgrim","Salt Lake City"
"Audio: I am a Pilgrim","Fairbanks"
"Audio: Ride Railroad Bill","Man"
"Audio: Ride Railroad Bill","Most"
"Audio: Ride Railroad Bill","Salt"
"Audio: Ride Railroad Bill","Wa"
"Audio: Ride Railroad Bill","Ho"
"Audio: Ride Railroad Bill","Un"
"Audio: Ride Railroad Bill","Date"
"Audio: Ride Railroad Bill","Doma"
"Audio: Ride Railroad Bill","Boo"
"Audio: Ride Railroad Bill","Bo"
